trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,m,l,x,x,450,,0,1,0
2,t,l,x,x,450,,0,1,1
3,l,l,x,x,550,,0,1,2
4,m,r,x,x,900,,0,1,3
5,t,r,x,x,550,,0,1,4
6,i,l,x,x,700,,0,1,5
7,i,l,x,x,450,,0,1,6
8,l,l,x,x,700,,0,1,7
9,l,l,x,x,900,,0,1,8
10,r,r,x,x,350,,0,1,9
11,r,r,x,x,900,,0,1,10
12,t,r,x,x,700,,0,1,11
13,i,r,x,x,550,,0,1,12
14,r,r,x,x,450,,0,1,13
15,m,r,x,x,700,,0,1,14
16,r,l,x,x,700,,0,1,15
17,l,r,x,x,550,,0,1,16
18,l,r,x,x,700,,0,1,17
19,m,l,x,x,700,,0,1,18
20,i,r,x,x,450,,0,1,19
21,r,l,x,x,550,,0,1,20
22,r,l,x,x,450,,0,1,21
23,m,l,x,x,550,,0,1,22
24,r,r,x,x,550,,0,1,23
25,l,r,x,x,900,,0,1,24
26,i,l,x,x,350,,0,1,25
27,m,l,x,x,350,,0,1,26
28,m,l,x,x,900,,0,1,27
29,l,l,x,x,450,,0,1,28
30,l,r,x,x,450,,0,1,29
31,t,r,x,x,450,,0,1,30
32,t,r,x,x,350,,0,1,31
33,t,l,x,x,700,,0,1,32
34,t,l,x,x,550,,0,1,33
35,i,r,x,x,700,,0,1,34
36,l,l,x,x,350,,0,1,35
37,r,l,x,x,350,,0,1,36
38,i,l,x,x,900,,0,1,37
39,t,l,x,x,350,,0,1,38
40,m,r,x,x,550,,0,1,39
41,m,r,x,x,350,,0,1,40
42,i,l,x,x,550,,0,1,41
43,i,r,x,x,350,,0,1,42
44,i,r,x,x,900,,0,1,43
45,m,r,x,x,450,,0,1,44
46,l,r,x,x,350,,0,1,45
47,t,l,x,x,900,,0,1,46
48,r,r,x,x,700,,0,1,47
49,r,l,x,x,900,,0,1,48
50,t,r,x,x,900,,0,1,49
