trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,i,r,i,r,900,-436,0,2,0
1,m,r,m,r,900,-395,0,2,0
2,m,r,m,r,700,-437,0,2,1
2,r,r,r,r,700,-396,0,2,1
3,m,r,m,r,900,-396,0,2,2
3,r,r,i,r,900,-437,0,2,2
4,i,r,i,r,450,-436,0,2,3
4,r,r,m,r,450,-396,0,2,3
5,i,r,i,r,550,-437,0,2,4
5,r,r,r,r,550,-396,0,2,4
6,i,r,r,r,700,-437,0,2,5
6,m,r,m,r,700,-396,0,2,5
7,i,r,m,r,350,-437,0,2,6
7,r,r,r,r,350,-396,0,2,6
8,m,r,i,r,350,-437,0,2,7
8,r,r,r,r,350,-396,0,2,7
9,m,r,m,r,450,-396,0,2,8
9,r,r,i,r,450,-437,0,2,8
10,i,r,i,r,450,-396,0,2,9
10,m,r,r,r,450,-437,0,2,9
11,i,r,r,r,350,-397,0,2,10
11,m,r,m,r,350,-437,0,2,10
12,i,r,i,r,550,-396,0,2,11
12,m,r,r,r,550,-437,0,2,11
13,m,r,i,r,550,-437,0,2,12
13,r,r,r,r,550,-396,0,2,12
14,i,r,i,r,900,-437,0,2,13
14,r,r,r,r,900,-396,0,2,13
15,i,r,i,r,700,-396,0,2,14
15,r,r,m,r,700,-437,0,2,14
