trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,m,l,m,l,450,158,0,1,0
2,r,l,r,l,700,-117,3,1,1
3,m,l,m,l,700,-52,3,1,2
4,i,l,i,l,550,24,3,1,3
5,l,l,r,l,450,87,1,1,4
5,x,x,l,l,450,112,-1,1,4
5,x,x,r,l,450,1009,-1,1,4
6,m,l,m,l,700,-106,3,1,5
7,t,l,i,l,550,27,1,1,6
8,t,l,i,l,550,16,1,1,7
8,x,x,t,l,550,36,-1,1,7
9,l,l,l,l,350,249,0,1,8
10,l,l,l,l,350,209,0,1,9
11,i,l,i,l,550,54,3,1,10
12,m,l,i,l,350,164,0,1,11
12,x,x,t,l,350,176,-1,1,11
13,l,l,r,l,550,-36,1,1,12
14,r,l,r,l,450,421,0,1,13
15,i,l,i,l,350,188,0,1,14
16,i,l,i,l,350,172,0,1,15
17,r,l,r,l,350,165,0,1,16
18,t,l,t,l,900,36,3,1,17
19,m,l,m,l,350,198,0,1,18
20,m,l,m,l,900,-57,3,1,19
21,m,l,m,l,450,52,3,1,20
22,r,l,r,l,350,147,0,1,21
23,i,l,i,l,450,110,3,1,22
24,t,l,t,l,700,2,3,1,23
25,l,l,l,l,900,-149,0,1,24
26,i,l,i,l,350,194,0,1,25
27,m,l,m,l,550,9,3,1,26
28,r,l,r,l,550,-70,3,1,27
29,r,l,m,l,700,-104,1,1,28
30,l,l,l,l,450,69,3,1,29
31,t,l,t,l,900,-157,0,1,30
32,r,l,r,l,550,53,3,1,31
33,l,l,l,l,700,-61,3,1,32
34,m,l,m,l,550,-4,3,1,33
35,r,l,r,l,350,127,0,1,34
36,t,l,i,l,550,48,1,1,35
36,x,x,t,l,550,97,-1,1,35
37,t,l,m,l,350,69,1,1,36
38,i,l,i,l,700,-46,3,1,37
39,l,l,l,l,550,55,3,1,38
40,t,l,t,l,700,-32,3,1,39
41,r,l,r,l,700,-79,3,1,40
42,i,l,x,x,700,,-1,1,41
43,i,l,i,l,450,135,0,1,42
44,t,l,t,l,350,289,0,1,43
45,r,l,r,l,900,-60,3,1,44
46,t,l,x,x,700,,-1,1,45
47,t,l,t,l,350,254,0,1,46
48,i,l,i,l,550,67,3,1,47
49,t,l,t,l,450,181,0,1,48
50,m,l,m,l,900,-10,3,1,49
51,m,l,t,l,450,59,1,1,50
51,x,x,i,l,450,62,-1,1,50
52,l,l,m,l,350,178,0,1,51
53,m,l,m,l,700,-92,3,1,52
54,i,l,m,l,700,85,1,1,53
55,t,l,m,l,450,506,0,1,54
56,m,l,m,l,700,-60,3,1,55
57,t,l,r,l,450,195,0,1,56
58,m,l,m,l,900,-17,3,1,57
59,t,l,t,l,700,-15,3,1,58
60,l,l,m,l,900,-138,0,1,59
61,r,l,r,l,350,134,0,1,60
62,r,l,r,l,450,135,0,1,61
62,x,x,l,l,450,163,-1,1,61
63,m,l,m,l,350,48,3,1,62
64,l,l,m,l,900,521,0,1,63
65,t,l,x,x,900,,-1,1,64
66,t,l,m,l,550,231,0,1,65
67,l,l,m,l,700,546,0,1,66
68,i,l,i,l,900,44,3,1,67
69,i,l,i,l,700,-86,3,1,68
70,r,l,r,l,900,-65,3,1,69
71,m,l,r,l,350,163,0,1,70
71,x,x,m,l,350,304,-1,1,70
72,l,l,l,l,700,6,3,1,71
73,m,l,m,l,450,132,0,1,72
74,i,l,i,l,550,40,3,1,73
75,r,l,r,l,550,15,3,1,74
76,i,l,i,l,900,-65,3,1,75
77,r,l,r,l,450,28,3,1,76
78,l,l,l,l,700,-71,3,1,77
79,l,l,l,l,350,70,3,1,78
80,r,l,r,l,550,-536,0,1,79
80,x,x,m,l,550,-495,-1,1,79
80,x,x,i,l,550,-415,-1,1,79
80,x,x,t,l,550,-383,-1,1,79
81,r,l,r,l,900,-82,3,1,80
82,r,l,r,l,450,37,3,1,81
83,l,l,l,l,550,106,3,1,82
84,i,l,i,l,450,126,0,1,83
85,m,l,m,l,550,100,3,1,84
86,m,l,m,l,550,87,3,1,85
87,t,l,i,l,350,239,0,1,86
88,i,l,i,l,900,-46,3,1,87
89,i,l,i,l,900,-5,3,1,88
90,l,l,l,l,900,-122,3,1,89
91,r,l,r,l,700,5,3,1,90
92,t,l,t,l,450,199,0,1,91
93,i,l,i,l,350,491,0,1,92
94,m,l,r,l,900,-193,0,1,93
95,i,l,i,l,450,150,0,1,94
96,l,l,l,l,450,186,0,1,95
97,l,l,l,l,450,99,3,1,96
98,l,l,l,l,550,6,3,1,97
99,t,l,t,l,900,-80,3,1,98
100,r,l,r,l,900,-16,3,1,99
