trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,i,l,i,l,650,-1114,0,2,0
1,r,l,m,l,650,418,0,2,0
2,r,l,r,l,1200,-458,0,2,1
2,l,l,m,l,1200,656,0,2,1
3,t,l,r,l,500,-309,0,2,2
3,i,l,m,l,500,658,0,2,2
4,t,l,r,l,500,-631,0,2,3
4,m,l,m,l,500,-632,0,2,3
5,i,l,m,l,1200,-616,0,2,4
5,r,l,l,l,1200,-903,0,2,4
6,t,l,t,l,1000,-11,3,2,5
6,r,l,r,l,1000,-32,3,2,5
7,r,l,r,l,500,126,0,2,6
7,l,l,l,l,500,120,3,2,6
8,t,l,i,l,650,38,1,2,7
8,l,l,l,l,650,11,3,2,7
8,x,x,t,l,650,38,-1,2,7
9,m,l,m,l,1000,-130,0,2,8
9,l,l,l,l,1000,-157,0,2,8
9,x,x,r,l,1000,-123,-1,2,8
10,t,l,t,l,1000,12,3,2,9
10,l,l,l,l,1000,-12,3,2,9
11,i,l,i,l,800,-67,3,2,10
11,l,l,l,l,800,-83,3,2,10
12,m,l,m,l,1200,-145,0,2,11
12,r,l,r,l,1200,-148,0,2,11
13,i,l,i,l,650,47,3,2,12
13,m,l,m,l,650,55,3,2,12
14,m,l,m,l,500,107,3,2,13
14,r,l,r,l,500,124,3,2,13
15,m,l,m,l,800,27,3,2,14
15,r,l,r,l,800,31,3,2,14
16,r,l,r,l,1000,-35,3,2,15
16,l,l,l,l,1000,-27,3,2,15
17,r,l,r,l,1000,-22,3,2,16
17,l,l,l,l,1000,-10,3,2,16
18,m,l,m,l,500,206,0,2,17
18,r,l,r,l,500,126,0,2,17
19,t,l,t,l,800,-75,3,2,18
19,l,l,l,l,800,-87,3,2,18
20,i,l,i,l,800,-47,3,2,19
20,m,l,m,l,800,-55,3,2,19
21,t,l,t,l,800,-73,3,2,20
21,i,l,i,l,800,-88,3,2,20
22,m,l,m,l,1000,-100,3,2,21
22,r,l,r,l,1000,-92,3,2,21
23,i,l,m,l,500,16,1,2,22
23,r,l,r,l,500,20,3,2,22
24,i,l,t,l,650,3,1,2,23
24,r,l,r,l,650,-8,3,2,23
25,m,l,m,l,800,-54,3,2,24
25,r,l,r,l,800,-50,3,2,24
26,t,l,t,l,650,94,3,2,25
26,i,l,i,l,650,30,3,2,25
27,i,l,t,l,650,35,1,2,26
27,l,l,l,l,650,32,3,2,26
28,t,l,t,l,500,99,3,2,27
28,l,l,l,l,500,100,3,2,27
29,t,l,t,l,800,-26,3,2,28
29,i,l,i,l,800,-21,3,2,28
30,t,l,t,l,1000,22,3,2,29
30,i,l,i,l,1000,-24,3,2,29
31,r,l,r,l,800,-56,3,2,30
31,l,l,l,l,800,-72,3,2,30
32,i,l,i,l,1000,-100,3,2,31
32,m,l,m,l,1000,-97,3,2,31
33,i,l,m,l,800,-25,1,2,32
33,r,l,r,l,800,-3,3,2,32
33,x,x,i,l,800,19,-1,2,32
34,t,l,t,l,650,35,3,2,33
34,i,l,i,l,650,7,3,2,33
35,m,l,m,l,1200,-106,3,2,34
35,l,l,l,l,1200,-112,3,2,34
36,t,l,t,l,1200,6,3,2,35
36,i,l,i,l,1200,-16,3,2,35
37,t,l,t,l,800,-33,3,2,36
37,r,l,r,l,800,-53,3,2,36
38,i,l,i,l,1200,-112,3,2,37
38,m,l,m,l,1200,-103,3,2,37
39,i,l,i,l,650,61,3,2,38
39,l,l,l,l,650,65,3,2,38
40,r,l,r,l,800,-67,3,2,39
40,l,l,l,l,800,-69,3,2,39
41,i,l,i,l,1000,-45,3,2,40
41,r,l,r,l,1000,-45,3,2,40
42,t,l,t,l,500,177,0,2,41
42,l,l,l,l,500,133,0,2,41
43,t,l,t,l,1200,-19,3,2,42
43,l,l,l,l,1200,-23,3,2,42
44,i,l,i,l,500,223,0,2,43
44,r,l,m,l,500,182,0,2,43
44,x,x,r,l,500,226,-1,2,43
45,m,l,m,l,800,85,3,2,44
45,l,l,l,l,800,34,3,2,44
46,m,l,m,l,650,-3,3,2,45
46,l,l,l,l,650,21,3,2,45
47,t,l,i,l,500,114,1,2,46
47,r,l,r,l,500,91,3,2,46
47,x,x,t,l,500,142,-1,2,46
