trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,r,r,r,r,600,33,3,1,0
2,m,r,m,r,225,283,0,1,1
3,r,r,m,r,225,137,0,1,2
4,r,r,m,r,150,177,0,1,3
4,x,x,r,r,150,240,-1,1,3
5,m,r,m,r,600,-67,3,1,4
6,m,r,m,r,600,-26,3,1,5
7,r,r,r,r,450,-181,0,1,6
8,r,r,m,r,450,-143,0,1,7
9,r,r,r,r,800,-166,0,1,8
10,m,r,m,r,800,-102,3,1,9
11,m,r,m,r,600,-46,3,1,10
12,m,r,m,r,450,58,3,1,11
13,i,r,r,r,150,203,0,1,12
14,i,r,i,r,450,113,3,1,13
15,i,r,i,r,600,-25,3,1,14
16,i,r,m,r,150,161,0,1,15
16,x,x,i,r,150,176,-1,1,15
17,i,r,i,r,600,20,3,1,16
18,i,r,m,r,225,101,1,1,17
19,i,r,i,r,150,189,0,1,18
20,m,r,m,r,800,-169,0,1,19
21,m,r,m,r,450,17,3,1,20
22,m,r,m,r,225,-978,0,1,21
22,x,x,m,r,225,210,-1,1,21
23,r,r,m,r,150,161,0,1,22
24,r,r,r,r,800,-66,3,1,23
25,i,r,m,r,450,-123,1,1,24
26,m,r,i,r,225,6,1,1,25
27,r,r,m,r,225,38,1,1,26
28,r,r,m,r,150,-44,1,1,27
29,i,r,i,r,450,109,3,1,28
30,i,r,m,r,150,-70,1,1,29
31,m,r,i,r,150,-46,1,1,30
32,i,r,m,r,450,-127,0,1,31
33,m,r,m,r,150,66,3,1,32
34,m,r,m,r,150,-104,3,1,33
35,i,r,i,r,600,-177,0,1,34
36,r,r,m,r,450,-32,1,1,35
36,x,x,r,r,450,23,-1,1,35
37,i,r,i,r,150,-57,3,1,36
38,m,r,m,r,800,-98,3,1,37
38,x,x,i,r,800,-67,-1,1,37
39,r,r,r,r,450,95,3,1,38
40,i,r,i,r,600,-43,3,1,39
41,r,r,m,r,450,-132,0,1,40
42,i,r,i,r,800,-60,3,1,41
43,i,r,r,r,225,-93,1,1,42
44,r,r,m,r,150,-109,1,1,43
45,r,r,m,r,150,84,1,1,44
46,m,r,m,r,800,-22,3,1,45
47,r,r,i,r,450,-79,1,1,46
48,i,r,m,r,150,-6,1,1,47
49,m,r,r,r,150,58,1,1,48
50,m,r,m,r,225,-88,3,1,49
51,m,r,m,r,150,-49,3,1,50
52,r,r,m,r,225,-122,1,1,51
53,m,r,i,r,600,-220,0,1,52
54,m,r,m,r,800,-1393,0,1,53
54,x,x,m,r,800,-367,-1,1,53
54,x,x,m,r,800,148,-1,1,53
55,i,r,i,r,150,-70,3,1,54
56,r,r,m,r,225,-135,0,1,55
57,r,r,r,r,600,-112,3,1,56
58,i,r,m,r,450,-160,0,1,57
59,m,r,m,r,600,-145,0,1,58
60,i,r,i,r,600,89,3,1,59
61,i,r,m,r,225,-154,0,1,60
62,m,r,i,r,225,112,1,1,61
63,i,r,m,r,225,54,1,1,62
64,r,r,i,r,225,22,1,1,63
65,m,r,m,r,150,-75,3,1,64
66,i,r,m,r,225,-100,1,1,65
67,r,r,m,r,225,-52,1,1,66
68,r,r,i,r,450,-166,0,1,67
69,i,r,i,r,800,-110,3,1,68
70,i,r,i,r,800,-70,3,1,69
71,r,r,r,r,600,43,3,1,70
72,m,r,m,r,225,-55,3,1,71
73,m,r,i,r,450,-128,0,1,72
74,m,r,m,r,600,-154,0,1,73
75,r,r,m,r,225,-73,1,1,74
76,r,r,r,r,800,-25,3,1,75
77,r,r,m,r,600,-147,0,1,76
78,m,r,m,r,600,-172,0,1,77
79,r,r,r,r,800,-67,3,1,78
80,m,r,m,r,450,5,3,1,79
81,i,r,i,r,450,118,3,1,80
82,m,r,m,r,800,-23,3,1,81
83,r,r,r,r,800,-71,3,1,82
84,i,r,i,r,800,-48,3,1,83
85,m,r,m,r,450,-56,3,1,84
86,i,r,m,r,225,48,1,1,85
87,r,r,m,r,150,7,1,1,86
88,r,r,i,r,150,-147,0,1,87
89,i,r,m,r,225,-156,0,1,88
90,m,r,m,r,150,-67,3,1,89
91,i,r,i,r,800,-189,0,1,90
92,r,r,r,r,600,45,3,1,91
93,i,r,i,r,450,-36,3,1,92
94,r,r,r,r,600,28,3,1,93
95,m,r,m,r,450,-54,3,1,94
96,r,r,r,r,800,-62,3,1,95
97,m,r,m,r,225,-55,3,1,96
98,r,r,r,r,800,-63,3,1,97
99,r,r,r,r,600,17,3,1,98
100,i,r,i,r,600,25,3,1,99
101,i,r,i,r,800,-33,3,1,100
102,m,r,m,r,800,-81,3,1,101
103,m,r,m,r,450,-17,3,1,102
104,i,r,i,r,800,-42,3,1,103
105,i,r,i,r,600,-10,3,1,104
