trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,i,l,i,l,550,33,3,1,0
2,l,l,l,l,900,-196,0,1,1
3,l,l,l,l,700,-124,3,1,2
4,r,l,r,l,550,7,3,1,3
5,i,l,t,l,350,185,0,1,4
6,i,l,i,l,350,200,0,1,5
7,r,l,r,l,550,19,3,1,6
8,m,l,m,l,550,64,3,1,7
9,l,l,l,l,450,105,3,1,8
10,t,l,x,x,550,,0,1,9
11,r,l,r,l,550,47,3,1,10
12,l,l,l,l,700,-97,3,1,11
13,i,l,i,l,700,-122,3,1,12
14,m,l,m,l,700,-113,3,1,13
15,t,l,i,l,700,-37,1,1,14
16,t,l,t,l,450,26,3,1,15
17,l,l,m,l,700,-102,1,1,16
18,r,l,r,l,550,-1,3,1,17
19,l,l,r,l,900,-231,0,1,18
20,i,l,l,l,900,-87,1,1,19
21,t,l,m,l,700,-48,1,1,20
22,r,l,m,l,900,-198,0,1,21
23,l,l,m,l,550,-14,1,1,22
24,m,l,m,l,900,-165,0,1,23
25,m,l,m,l,900,15,3,1,24
26,r,l,r,l,450,107,3,1,25
27,r,l,r,l,350,12,3,1,26
28,i,l,i,l,550,29,3,1,27
29,t,l,r,l,350,182,0,1,28
30,r,l,i,l,350,85,1,1,29
31,m,l,m,l,900,-113,3,1,30
32,m,l,x,x,700,,0,1,31
33,r,l,r,l,900,-118,3,1,32
34,i,l,i,l,450,108,3,1,33
35,t,l,t,l,700,60,3,1,34
36,m,l,x,x,350,,0,1,35
37,i,l,i,l,550,6,3,1,36
38,i,l,i,l,700,-86,3,1,37
39,t,l,t,l,900,20,3,1,38
40,m,l,r,l,550,8,1,1,39
41,i,l,i,l,550,-59,3,1,40
42,m,l,r,l,450,110,1,1,41
43,r,l,r,l,450,107,3,1,42
44,r,l,r,l,700,-95,3,1,43
45,m,l,m,l,550,23,3,1,44
46,t,l,t,l,350,189,0,1,45
47,l,l,l,l,900,-146,0,1,46
48,i,l,x,x,450,,0,1,47
49,l,l,l,l,350,231,0,1,48
50,r,l,r,l,700,-112,3,1,49
51,l,l,l,l,350,250,0,1,50
52,t,l,t,l,450,168,0,1,51
53,m,l,l,l,350,138,0,1,52
54,m,l,l,l,700,-4,1,1,53
55,l,l,l,l,550,28,3,1,54
56,t,l,i,l,550,167,0,1,55
57,r,l,r,l,350,77,3,1,56
58,t,l,l,l,550,-125,1,1,57
59,t,l,t,l,450,101,3,1,58
60,l,l,r,l,350,133,0,1,59
61,l,l,l,l,900,-55,3,1,60
62,i,l,i,l,350,171,0,1,61
63,m,l,m,l,700,-43,3,1,62
64,t,l,t,l,450,188,0,1,63
65,m,l,m,l,900,-22,3,1,64
66,l,l,l,l,550,79,3,1,65
67,t,l,t,l,900,-119,3,1,66
68,t,l,m,l,900,-661,0,1,67
69,i,l,m,l,350,86,1,1,68
70,r,l,m,l,450,-827,0,1,69
71,t,l,t,l,350,276,0,1,70
72,t,l,m,l,900,-186,0,1,71
73,l,l,l,l,700,0,3,1,72
74,m,l,m,l,450,104,3,1,73
75,r,l,r,l,450,61,3,1,74
76,t,l,i,l,700,-35,1,1,75
77,i,l,t,l,450,15,1,1,76
78,l,l,m,l,450,33,1,1,77
79,l,l,r,l,450,32,1,1,78
80,l,l,l,l,450,158,0,1,79
81,r,l,r,l,900,-107,3,1,80
82,m,l,m,l,350,200,0,1,81
83,m,l,m,l,450,155,0,1,82
84,i,l,i,l,700,-176,0,1,83
85,i,l,i,l,900,-8,3,1,84
86,m,l,m,l,550,93,3,1,85
87,i,l,i,l,450,133,0,1,86
88,r,l,r,l,900,-89,3,1,87
89,i,l,i,l,900,-26,3,1,88
90,r,l,r,l,350,206,0,1,89
91,r,l,r,l,700,-56,3,1,90
92,r,l,r,l,700,-125,3,1,91
93,t,l,m,l,350,-74,1,1,92
94,i,l,i,l,900,-77,3,1,93
95,l,l,r,l,350,98,1,1,94
96,m,l,r,l,450,68,1,1,95
97,l,l,l,l,550,124,3,1,96
98,m,l,m,l,350,149,0,1,97
99,t,l,t,l,550,128,0,1,98
100,i,l,m,l,700,-12,1,1,99
