trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,t,r,t,r,700,42,3,1,0
2,i,r,i,r,700,-19,3,1,1
3,t,r,t,r,900,-60,3,1,2
4,m,r,m,r,550,88,3,1,3
5,l,r,l,r,900,-52,3,1,4
6,r,r,r,r,550,41,3,1,5
7,i,r,m,r,450,187,0,1,6
8,m,r,m,r,450,165,0,1,7
9,l,r,l,r,350,242,0,1,8
10,l,r,l,r,550,68,3,1,9
11,m,r,m,r,900,-19,3,1,10
12,m,r,m,r,450,106,0,1,11
13,r,r,r,r,900,-99,3,1,12
14,r,r,r,r,900,-103,0,1,13
15,m,r,m,r,550,67,3,1,14
16,r,r,r,r,900,-9,3,1,15
17,i,r,i,r,450,108,0,1,16
18,r,r,r,r,450,214,0,1,17
19,m,r,t,r,450,98,1,1,18
20,t,r,t,r,550,81,3,1,19
21,i,r,i,r,700,40,3,1,20
22,m,r,m,r,550,88,3,1,21
23,r,r,r,r,550,114,0,1,22
24,r,r,r,r,700,42,3,1,23
25,r,r,r,r,700,97,3,1,24
26,l,r,l,r,550,98,3,1,25
27,m,r,m,r,700,59,3,1,26
28,m,r,m,r,550,25,3,1,27
29,m,r,m,r,550,14,3,1,28
30,t,r,i,r,700,99,1,1,29
31,r,r,r,r,700,16,3,1,30
32,l,r,l,r,900,-36,3,1,31
33,t,r,t,r,550,116,0,1,32
34,l,r,l,r,700,36,3,1,33
35,r,r,r,r,550,55,3,1,34
36,t,r,t,r,550,58,3,1,35
37,r,r,r,r,450,175,0,1,36
38,m,r,m,r,900,-12,3,1,37
39,t,r,t,r,450,142,0,1,38
40,m,r,r,r,350,197,0,1,39
41,m,r,m,r,350,132,0,1,40
42,i,r,i,r,350,137,0,1,41
43,m,r,r,r,350,150,0,1,42
44,l,r,l,r,450,71,3,1,43
45,m,r,m,r,900,-25,3,1,44
46,r,r,r,r,700,6,3,1,45
47,t,r,i,r,450,105,0,1,46
48,r,r,m,r,450,125,0,1,47
49,t,r,t,r,700,53,3,1,48
50,m,r,m,r,700,75,3,1,49
51,m,r,m,r,900,32,3,1,50
52,t,r,t,r,700,-20,3,1,51
53,r,r,i,r,350,-491,0,1,52
54,r,r,i,r,900,-750,0,1,53
55,t,r,m,r,900,-15,1,1,54
56,m,r,m,r,700,-79,3,1,55
57,i,r,m,r,350,-336,0,1,56
58,t,r,m,r,900,-82,1,1,57
59,l,r,l,r,550,109,0,1,58
60,t,r,t,r,450,80,3,1,59
61,l,r,l,r,900,47,3,1,60
62,r,r,r,r,350,181,0,1,61
63,m,r,m,r,700,66,3,1,62
64,i,r,m,r,550,103,0,1,63
65,l,r,l,r,900,15,3,1,64
66,l,r,l,r,350,223,0,1,65
67,l,r,l,r,550,64,3,1,66
68,m,r,i,r,350,216,0,1,67
69,i,r,t,r,550,88,1,1,68
70,l,r,l,r,450,106,0,1,69
71,t,r,t,r,350,224,0,1,70
72,t,r,t,r,450,122,0,1,71
73,t,r,t,r,450,81,3,1,72
74,i,r,m,r,450,82,1,1,73
75,l,r,l,r,450,80,3,1,74
76,i,r,i,r,700,67,3,1,75
77,i,r,i,r,450,117,0,1,76
78,m,r,i,r,350,140,0,1,77
79,i,r,i,r,550,100,0,1,78
80,i,r,i,r,450,48,3,1,79
81,t,r,t,r,350,204,0,1,80
82,l,r,l,r,550,48,3,1,81
83,l,r,l,r,700,65,3,1,82
84,m,r,m,r,900,40,3,1,83
85,i,r,i,r,450,81,3,1,84
86,i,r,i,r,900,47,3,1,85
87,m,r,m,r,450,122,0,1,86
88,l,r,l,r,700,85,3,1,87
89,i,r,i,r,350,122,0,1,88
90,t,r,i,r,450,117,0,1,89
91,m,r,m,r,700,47,3,1,90
92,l,r,l,r,700,0,3,1,91
93,r,r,r,r,350,165,0,1,92
94,m,r,m,r,900,31,3,1,93
95,t,r,t,r,900,-9,3,1,94
96,t,r,i,r,550,-94,1,1,95
97,t,r,t,r,350,113,0,1,96
98,r,r,r,r,550,105,0,1,97
99,t,r,t,r,350,147,0,1,98
100,i,r,i,r,900,64,3,1,99
101,m,r,m,r,450,112,0,1,100
102,l,r,l,r,700,14,3,1,101
103,i,r,i,r,550,103,0,1,102
104,i,r,i,r,350,130,0,1,103
105,r,r,r,r,450,115,0,1,104
106,i,r,i,r,550,47,3,1,105
107,r,r,r,r,700,20,3,1,106
108,i,r,i,r,350,150,0,1,107
109,r,r,m,r,550,81,1,1,108
110,l,r,l,r,350,169,0,1,109
111,l,r,l,r,350,164,0,1,110
112,r,r,r,r,350,171,0,1,111
113,r,r,r,r,900,41,3,1,112
114,l,r,r,r,350,172,0,1,113
115,t,r,t,r,350,97,3,1,114
116,m,r,m,r,700,67,3,1,115
117,r,r,l,r,450,109,0,1,116
118,l,r,r,r,350,169,0,1,117
119,t,r,t,r,700,-34,3,1,118
120,l,r,l,r,450,69,3,1,119
121,i,r,m,r,350,192,0,1,120
122,l,r,l,r,550,66,3,1,121
