trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,t,l,t,l,700,9,3,1,0
2,i,l,m,l,700,-93,1,1,1
2,x,x,i,l,700,55,-1,1,1
3,m,l,m,l,450,93,3,1,2
4,m,l,m,l,900,-179,0,1,3
5,i,l,i,l,550,39,3,1,4
6,r,l,r,l,900,-40,3,1,5
7,m,l,m,l,700,-23,3,1,6
8,r,l,r,l,700,-69,3,1,7
9,t,l,i,l,350,68,1,1,8
10,t,l,t,l,550,-28,3,1,9
11,r,l,r,l,550,76,3,1,10
12,i,l,i,l,900,-357,0,1,11
12,x,x,m,l,900,93,-1,1,11
12,x,x,l,l,900,548,-1,1,11
12,x,x,r,l,900,616,-1,1,11
12,x,x,m,l,900,668,-1,1,11
12,x,x,i,l,900,732,-1,1,11
12,x,x,r,l,900,876,-1,1,11
12,x,x,m,l,900,912,-1,1,11
12,x,x,l,l,900,912,-1,1,11
12,x,x,i,l,900,980,-1,1,11
12,x,x,l,l,900,1118,-1,1,11
12,x,x,r,l,900,1127,-1,1,11
12,x,x,m,l,900,1194,-1,1,11
12,x,x,i,l,900,1227,-1,1,11
12,x,x,l,l,900,1342,-1,1,11
12,x,x,r,l,900,1345,-1,1,11
12,x,x,m,l,900,1358,-1,1,11
12,x,x,i,l,900,1449,-1,1,11
