trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,i,l,m,l,400,-55,1,1,0
2,r,l,m,l,500,-39,1,1,1
3,i,l,m,l,150,-100,1,1,2
4,m,l,m,l,300,120,3,1,3
5,i,l,m,l,500,90,1,1,4
5,x,x,i,l,500,105,-1,1,4
6,t,l,m,l,150,12,1,1,5
7,r,l,r,l,500,61,3,1,6
8,l,l,m,l,225,-64,1,1,7
9,t,l,m,l,400,15,1,1,8
10,t,l,m,l,400,47,1,1,9
11,i,l,i,l,500,111,3,1,10
12,t,l,m,l,225,33,1,1,11
13,m,l,t,l,400,-13,1,1,12
14,i,l,m,l,225,-11,1,1,13
15,m,l,m,l,225,-26,3,1,14
16,m,l,m,l,300,-10,3,1,15
17,r,l,m,l,400,-40,1,1,16
18,r,l,m,l,400,-54,1,1,17
19,m,l,m,l,500,118,3,1,18
20,r,l,m,l,300,-100,1,1,19
21,t,l,m,l,150,-52,1,1,20
22,t,l,m,l,300,-20,1,1,21
23,l,l,l,l,500,44,3,1,22
24,r,l,m,l,400,-64,1,1,23
25,i,l,i,l,500,62,3,1,24
26,i,l,m,l,300,15,1,1,25
27,r,l,i,l,150,220,0,1,26
28,i,l,m,l,300,-60,1,1,27
29,m,l,m,l,400,-45,3,1,28
30,m,l,m,l,150,-28,3,1,29
31,l,l,m,l,150,36,1,1,30
32,r,l,m,l,150,-57,1,1,31
33,m,l,m,l,150,-41,3,1,32
34,t,l,m,l,225,-23,1,1,33
35,t,l,m,l,225,-39,1,1,34
36,l,l,m,l,225,-53,1,1,35
37,l,l,m,l,225,-37,1,1,36
38,l,l,m,l,400,-67,1,1,37
39,t,l,m,l,500,-35,1,1,38
40,r,l,m,l,225,-96,1,1,39
41,l,l,m,l,300,-95,1,1,40
42,r,l,m,l,150,-48,1,1,41
43,m,l,m,l,225,-62,3,1,42
44,m,l,m,l,500,-30,3,1,43
45,l,l,m,l,150,-92,1,1,44
46,i,l,m,l,400,-28,1,1,45
47,l,l,m,l,300,-58,1,1,46
48,m,l,m,l,150,5,3,1,47
49,i,l,m,l,225,-104,1,1,48
50,i,l,m,l,150,-102,1,1,49
51,l,l,m,l,500,-100,1,1,50
52,t,l,m,l,500,-70,1,1,51
53,i,l,m,l,225,-115,1,1,52
54,i,l,i,l,400,42,3,1,53
55,t,l,t,l,400,42,3,1,54
56,l,l,m,l,500,-33,1,1,55
57,r,l,m,l,400,-18,1,1,56
58,i,l,m,l,300,-32,1,1,57
59,m,l,i,l,400,-47,1,1,58
60,r,l,m,l,225,-30,1,1,59
61,t,l,m,l,150,18,1,1,60
62,i,l,m,l,400,-60,1,1,61
63,r,l,m,l,150,-89,1,1,62
64,r,l,m,l,500,20,1,1,63
64,x,x,l,l,500,130,-1,1,63
65,l,l,m,l,150,5,1,1,64
66,i,l,m,l,225,6,1,1,65
67,r,l,m,l,225,-117,1,1,66
68,l,l,m,l,225,-23,1,1,67
69,i,l,m,l,150,41,1,1,68
70,l,l,m,l,150,-52,1,1,69
71,l,l,m,l,500,-66,1,1,70
72,m,l,m,l,400,-98,3,1,71
73,i,l,m,l,300,-112,1,1,72
74,i,l,m,l,150,-95,1,1,73
75,t,l,m,l,500,-79,1,1,74
76,r,l,m,l,225,-47,1,1,75
77,r,l,m,l,300,-44,1,1,76
78,m,l,m,l,225,-13,3,1,77
79,t,l,m,l,300,-60,1,1,78
80,r,l,m,l,300,4,1,1,79
81,t,l,t,l,500,84,3,1,80
82,i,l,m,l,500,6,1,1,81
83,l,l,m,l,300,-9,1,1,82
84,l,l,m,l,400,-38,1,1,83
85,m,l,m,l,300,-38,3,1,84
86,r,l,m,l,500,-99,1,1,85
87,r,l,m,l,300,-20,1,1,86
88,t,l,m,l,225,-51,1,1,87
89,m,l,m,l,300,-113,3,1,88
90,t,l,m,l,400,-143,0,1,89
91,m,l,m,l,500,-32,3,1,90
92,l,l,m,l,400,-79,1,1,91
93,m,l,m,l,225,-45,3,1,92
94,l,l,m,l,400,-45,1,1,93
95,t,l,m,l,300,-13,1,1,94
96,m,l,m,l,150,19,3,1,95
97,m,l,m,l,500,-42,3,1,96
98,t,l,m,l,150,-42,1,1,97
99,t,l,m,l,300,6,1,1,98
100,l,l,m,l,300,101,1,1,99
