trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,m,l,m,l,700,33,3,3,0
1,r,l,r,l,700,2,3,3,0
1,l,l,l,l,700,2,3,3,0
2,t,l,t,l,450,269,0,3,1
2,m,l,i,l,450,191,0,3,1
2,l,l,l,l,450,143,0,3,1
3,t,l,t,l,700,-13,3,3,2
3,m,l,r,l,700,19,1,3,2
3,l,l,l,l,700,3,3,3,2
3,x,x,i,l,700,50,-1,3,2
4,t,l,t,l,700,99,3,3,3
4,r,l,r,l,700,99,3,3,3
4,l,l,l,l,700,35,3,3,3
5,i,l,i,l,900,-56,3,3,4
5,m,l,m,l,900,-73,3,3,4
5,l,l,t,l,900,-56,1,3,4
5,x,x,l,l,900,-10,-1,3,4
6,t,l,r,l,900,-104,1,3,5
6,i,l,i,l,900,-25,3,3,5
6,m,l,m,l,900,-104,3,3,5
6,x,x,t,l,900,6,-1,3,5
7,t,l,t,l,550,117,3,3,6
7,r,l,r,l,550,132,0,3,6
7,l,l,l,l,550,70,3,3,6
8,m,l,m,l,450,321,0,3,7
8,r,l,r,l,450,165,0,3,7
8,l,l,l,l,450,181,0,3,7
9,t,l,t,l,700,9,3,3,8
9,r,l,r,l,700,-54,3,3,8
9,l,l,l,l,700,-38,3,3,8
10,t,l,t,l,450,213,0,3,9
10,i,l,r,l,450,275,0,3,9
10,l,l,l,l,450,119,3,3,9
11,t,l,t,l,700,89,3,3,10
11,i,l,i,l,700,73,3,3,10
11,m,l,m,l,700,59,3,3,10
12,t,l,t,l,700,154,0,3,11
12,i,l,i,l,700,91,3,3,11
12,l,l,m,l,700,262,0,3,11
12,x,x,l,l,700,450,-1,3,11
13,m,l,m,l,700,-2,3,3,12
13,r,l,r,l,700,-19,3,3,12
13,l,l,l,l,700,-19,3,3,12
14,t,l,m,l,350,295,0,3,13
14,i,l,i,l,350,311,0,3,13
14,l,l,l,l,350,389,0,3,13
14,x,x,r,l,350,404,-1,3,13
14,x,x,t,l,350,436,-1,3,13
15,i,l,i,l,450,281,0,3,14
15,r,l,r,l,450,156,0,3,14
15,l,l,l,l,450,141,0,3,14
15,x,x,t,l,450,375,-1,3,14
15,x,x,r,l,450,390,-1,3,14
16,i,l,r,l,350,204,0,3,15
16,m,l,m,l,350,250,0,3,15
16,l,l,l,l,350,281,0,3,15
16,x,x,i,l,350,375,-1,3,15
17,i,l,m,l,550,188,0,3,16
17,r,l,r,l,550,188,0,3,16
17,l,l,l,l,550,126,0,3,16
17,x,x,i,l,550,783,-1,3,16
18,m,l,i,l,450,112,1,3,17
18,r,l,r,l,450,80,3,3,17
18,l,l,l,l,450,96,3,3,17
19,t,l,i,l,450,299,0,3,18
19,m,l,m,l,450,206,0,3,18
19,r,l,r,l,450,299,0,3,18
19,x,x,t,l,450,409,-1,3,18
20,t,l,i,l,550,145,0,3,19
20,m,l,m,l,550,67,3,3,19
20,r,l,r,l,550,50,3,3,19
20,x,x,t,l,550,208,-1,3,19
21,i,l,i,l,450,255,0,3,20
21,m,l,m,l,450,239,0,3,20
21,r,l,r,l,450,239,0,3,20
22,i,l,i,l,550,100,3,3,21
22,m,l,m,l,550,69,3,3,21
22,r,l,r,l,550,37,3,3,21
23,t,l,t,l,700,100,3,3,22
23,m,l,i,l,700,131,0,3,22
23,l,l,l,l,700,70,3,3,22
24,i,l,i,l,450,242,0,3,23
24,m,l,m,l,450,211,0,3,23
24,l,l,r,l,450,211,0,3,23
24,x,x,t,l,450,259,-1,3,23
25,t,l,i,l,700,134,0,3,24
25,m,l,m,l,700,24,3,3,24
25,r,l,r,l,700,24,3,3,24
25,x,x,t,l,700,212,-1,3,24
26,t,l,t,l,900,103,3,3,25
26,i,l,i,l,900,-38,3,3,25
26,l,l,l,l,900,-69,3,3,25
27,t,l,i,l,900,11,1,3,26
27,m,l,m,l,900,-161,0,3,26
27,r,l,r,l,900,-207,0,3,26
28,t,l,t,l,450,230,0,3,27
28,r,l,r,l,450,138,0,3,27
28,l,l,l,l,450,138,0,3,27
29,i,l,t,l,900,-237,0,3,28
29,r,l,r,l,900,-254,0,3,28
29,l,l,l,l,900,-254,0,3,28
30,t,l,t,l,450,169,0,3,29
30,r,l,r,l,450,138,0,3,29
30,l,l,l,l,450,122,3,3,29
31,t,l,i,l,700,47,1,3,30
31,m,l,m,l,700,-1,3,3,30
31,r,l,r,l,700,-16,3,3,30
31,x,x,t,l,700,47,-1,3,30
32,t,l,t,l,550,250,0,3,31
32,i,l,i,l,550,157,0,3,31
32,m,l,m,l,550,109,3,3,31
33,t,l,t,l,700,-30,3,3,32
33,i,l,i,l,700,-47,3,3,32
33,m,l,m,l,700,-77,3,3,32
34,i,l,t,l,450,220,0,3,33
34,r,l,r,l,450,190,0,3,33
34,l,l,l,l,450,206,0,3,33
35,t,l,t,l,350,363,0,3,34
35,m,l,m,l,350,254,0,3,34
35,r,l,i,l,350,301,0,3,34
36,i,l,t,l,350,270,0,3,35
36,r,l,r,l,350,206,0,3,35
36,l,l,l,l,350,254,0,3,35
37,t,l,t,l,450,192,0,3,36
37,m,l,i,l,450,192,0,3,36
37,l,l,l,l,450,145,0,3,36
38,i,l,i,l,700,53,3,3,37
38,r,l,r,l,700,-26,3,3,37
38,l,l,l,l,700,-26,3,3,37
39,t,l,m,l,700,99,1,3,38
39,i,l,i,l,700,162,0,3,38
39,r,l,r,l,700,38,3,3,38
39,x,x,t,l,700,224,-1,3,38
40,t,l,r,l,900,-165,0,3,39
40,i,l,i,l,900,-101,3,3,39
40,m,l,m,l,900,-149,0,3,39
41,i,l,l,l,700,86,1,3,40
41,m,l,m,l,700,134,0,3,40
41,r,l,r,l,700,119,3,3,40
42,t,l,t,l,900,9,3,3,41
42,r,l,r,l,900,-23,3,3,41
42,l,l,l,l,900,-38,3,3,41
43,t,l,t,l,350,229,0,3,42
43,r,l,r,l,350,229,0,3,42
43,l,l,l,l,350,213,0,3,42
44,t,l,i,l,550,245,0,3,43
44,m,l,r,l,550,293,0,3,43
44,l,l,l,l,550,136,0,3,43
44,x,x,i,l,550,433,-1,3,43
45,i,l,i,l,900,60,3,3,44
45,m,l,m,l,900,44,3,3,44
45,r,l,r,l,900,13,3,3,44
46,m,l,m,l,900,28,3,3,45
46,r,l,r,l,900,-2,3,3,45
46,l,l,l,l,900,13,3,3,45
46,x,x,i,l,900,76,-1,3,45
47,m,l,m,l,550,171,0,3,46
47,r,l,r,l,550,45,3,3,46
47,l,l,l,l,550,62,3,3,46
48,t,l,r,l,550,250,0,3,47
48,i,l,i,l,550,234,0,3,47
48,m,l,m,l,550,218,0,3,47
48,x,x,t,l,550,250,-1,3,47
49,t,l,l,l,350,344,0,3,48
49,i,l,i,l,350,312,0,3,48
49,r,l,r,l,350,359,0,3,48
49,x,x,t,l,350,375,-1,3,48
49,x,x,m,l,350,391,-1,3,48
50,t,l,t,l,350,329,0,3,49
50,m,l,m,l,350,221,0,3,49
50,r,l,r,l,350,252,0,3,49
50,x,x,i,l,350,346,-1,3,49
51,t,l,t,l,450,252,0,3,50
51,i,l,i,l,450,191,0,3,50
51,r,l,r,l,450,206,0,3,50
52,t,l,t,l,350,299,0,3,51
52,m,l,r,l,350,285,0,3,51
52,l,l,l,l,350,315,0,3,51
52,x,x,i,l,350,315,-1,3,51
53,t,l,i,l,550,161,0,3,52
53,m,l,m,l,550,130,0,3,52
53,r,l,r,l,550,98,3,3,52
54,m,l,m,l,550,99,3,3,53
54,r,l,r,l,550,84,3,3,53
54,l,l,l,l,550,84,3,3,53
55,i,l,i,l,350,303,0,3,54
55,m,l,r,l,350,303,0,3,54
55,l,l,l,l,350,241,0,3,54
55,x,x,m,l,350,350,-1,3,54
56,t,l,t,l,550,101,3,3,55
56,r,l,r,l,550,85,3,3,55
56,l,l,l,l,550,53,3,3,55
56,x,x,i,l,550,147,-1,3,55
56,x,x,m,l,550,164,-1,3,55
57,t,l,t,l,550,383,0,3,56
57,i,l,m,l,550,179,0,3,56
57,r,l,r,l,550,273,0,3,56
57,x,x,i,l,550,509,-1,3,56
58,i,l,i,l,450,181,0,3,57
58,m,l,m,l,450,149,0,3,57
58,r,l,r,l,450,149,0,3,57
59,i,l,m,l,550,150,0,3,58
59,r,l,r,l,550,103,3,3,58
59,l,l,l,l,550,103,3,3,58
60,t,l,t,l,450,261,0,3,59
60,i,l,r,l,450,261,0,3,59
60,l,l,l,l,450,245,0,3,59
60,x,x,i,l,450,417,-1,3,59
60,x,x,m,l,450,433,-1,3,59
61,t,l,t,l,350,262,0,3,60
61,m,l,i,l,350,294,0,3,60
61,l,l,l,l,350,231,0,3,60
61,x,x,r,l,350,308,-1,3,60
62,t,l,m,l,550,185,0,3,61
62,i,l,i,l,550,216,0,3,61
62,r,l,r,l,550,152,0,3,61
62,x,x,t,l,550,247,-1,3,61
62,x,x,l,l,550,278,-1,3,61
63,i,l,i,l,700,138,0,3,62
63,m,l,m,l,700,122,3,3,62
63,l,l,r,l,700,155,0,3,62
64,m,l,m,l,350,343,0,3,63
64,r,l,r,l,350,233,0,3,63
64,l,l,l,l,350,250,0,3,63
65,i,l,m,l,350,234,0,3,64
65,r,l,r,l,350,219,0,3,64
65,l,l,l,l,350,219,0,3,64
65,x,x,t,l,350,328,-1,3,64
66,t,l,r,l,450,203,0,3,65
66,i,l,i,l,450,157,0,3,65
66,m,l,m,l,450,172,0,3,65
66,x,x,t,l,450,314,-1,3,65
67,m,l,m,l,900,18,3,3,66
67,r,l,r,l,900,2,3,3,66
67,l,l,l,l,900,18,3,3,66
68,t,l,m,l,900,112,1,3,67
68,i,l,i,l,900,144,0,3,67
68,r,l,r,l,900,66,3,3,67
68,x,x,t,l,900,175,-1,3,67
69,t,l,t,l,900,3,3,3,68
69,i,l,i,l,900,-28,3,3,68
69,r,l,m,l,900,-13,1,3,68
70,m,l,m,l,350,301,0,3,69
70,r,l,r,l,350,271,0,3,69
70,l,l,l,l,350,271,0,3,69
71,i,l,i,l,700,99,3,3,70
71,m,l,m,l,700,38,3,3,70
71,r,l,r,l,700,52,3,3,70
72,t,l,i,l,900,69,1,3,71
72,m,l,m,l,900,69,3,3,71
72,r,l,r,l,900,69,3,3,71
72,x,x,t,l,900,84,-1,3,71
73,t,l,t,l,900,210,0,3,72
73,m,l,i,l,900,116,1,3,72
73,l,l,l,l,900,116,3,3,72
74,t,l,t,l,350,290,0,3,73
74,i,l,i,l,350,290,0,3,73
74,m,l,m,l,350,274,0,3,73
74,x,x,r,l,350,305,-1,3,73
75,t,l,i,l,450,213,0,3,74
75,m,l,m,l,450,196,0,3,74
75,r,l,r,l,450,166,0,3,74
75,x,x,t,l,450,213,-1,3,74
76,i,l,i,l,900,-36,3,3,75
76,m,l,m,l,900,-36,3,3,75
76,l,l,t,l,900,11,1,3,75
76,x,x,r,l,900,167,-1,3,75
77,t,l,t,l,550,121,3,3,76
77,m,l,i,l,550,152,0,3,76
77,l,l,l,l,550,106,3,3,76
77,x,x,r,l,550,183,-1,3,76
78,t,l,t,l,550,106,3,3,77
78,i,l,i,l,550,106,3,3,77
78,l,l,m,l,550,122,1,3,77
78,x,x,r,l,550,138,-1,3,77
79,t,l,t,l,450,185,0,3,78
79,i,l,i,l,450,185,0,3,78
79,r,l,m,l,450,185,0,3,78
79,x,x,r,l,450,200,-1,3,78
80,t,l,t,l,350,155,0,3,79
80,i,l,i,l,350,187,0,3,79
80,l,l,r,l,350,170,0,3,79
80,x,x,m,l,350,187,-1,3,79
80,x,x,l,l,350,248,-1,3,79
80,x,x,i,l,350,311,-1,3,79
81,t,l,t,l,900,-32,3,3,80
