trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,t,l,t,l,650,-12,3,1,0
2,t,l,t,l,500,-43,3,1,1
3,m,l,m,l,800,-59,3,1,2
4,i,l,i,l,800,-44,3,1,3
5,t,l,t,l,800,-12,3,1,4
6,r,l,m,l,800,-90,1,1,5
6,x,x,r,l,800,-27,-1,1,5
7,r,l,r,l,650,-90,3,1,6
8,m,l,m,l,650,-74,3,1,7
9,m,l,m,l,1000,-90,3,1,8
10,i,l,t,l,500,-27,1,1,9
10,x,x,m,l,500,98,-1,1,9
11,m,l,x,x,150,,-1,1,10
12,m,l,m,l,650,-105,3,1,11
13,t,l,x,x,150,,-1,1,12
14,t,l,t,l,500,-215,0,1,13
14,x,x,i,l,500,160,-1,1,13
15,i,l,m,l,800,3,1,1,14
16,r,l,r,l,800,-44,3,1,15
16,x,x,r,l,800,66,-1,1,15
17,i,l,t,l,650,-27,1,1,16
18,r,l,m,l,650,-44,1,1,17
18,x,x,r,l,650,98,-1,1,17
19,i,l,m,l,650,35,1,1,18
20,l,l,m,l,150,4,1,1,19
21,r,l,m,l,150,145,0,1,20
22,r,l,r,l,1000,-27,3,1,21
23,i,l,t,l,500,98,1,1,22
23,x,x,i,l,500,160,-1,1,22
24,l,l,r,l,1000,-75,1,1,23
25,t,l,l,l,150,-12,1,1,24
26,l,l,l,l,500,20,3,1,25
27,m,l,m,l,650,20,3,1,26
28,i,l,m,l,650,-12,1,1,27
28,x,x,t,l,650,82,-1,1,27
29,l,l,m,l,650,191,0,1,28
30,r,l,l,l,1000,-230,0,1,29
30,x,x,m,l,1000,51,-1,1,29
30,x,x,r,l,1000,81,-1,1,29
31,l,l,l,l,800,20,3,1,30
32,r,l,x,x,150,,-1,1,31
33,r,l,r,l,500,-121,3,1,32
34,m,l,x,x,150,,-1,1,33
35,t,l,t,l,800,-59,3,1,34
36,r,l,r,l,1000,-90,3,1,35
37,t,l,t,l,500,35,3,1,36
38,m,l,m,l,800,4,3,1,37
39,t,l,t,l,800,-44,3,1,38
40,m,l,m,l,800,-74,3,1,39
41,m,l,m,l,500,-27,3,1,40
42,r,l,l,l,150,51,1,1,41
43,l,l,l,l,800,-28,3,1,42
44,t,l,m,l,150,144,0,1,43
45,i,l,m,l,1000,-28,1,1,44
45,x,x,i,l,1000,223,-1,1,44
46,i,l,i,l,800,66,3,1,45
47,l,l,l,l,500,50,3,1,46
48,l,l,l,l,650,4,3,1,47
49,m,l,m,l,800,-43,3,1,48
50,m,l,m,l,150,-59,3,1,49
51,r,l,r,l,800,-105,3,1,50
52,t,l,t,l,1000,-59,3,1,51
53,m,l,m,l,500,35,3,1,52
54,l,l,m,l,150,-43,1,1,53
55,t,l,m,l,500,-90,1,1,54
56,r,l,m,l,500,-105,1,1,55
56,x,x,r,l,500,207,-1,1,55
57,i,l,i,l,1000,35,3,1,56
58,t,l,i,l,650,4,1,1,57
58,x,x,t,l,650,66,-1,1,57
59,t,l,t,l,150,34,3,1,58
60,t,l,t,l,650,4,3,1,59
61,l,l,t,l,150,51,1,1,60
62,l,l,l,l,1000,-90,3,1,61
63,r,l,t,l,150,-74,1,1,62
64,l,l,l,l,650,-27,3,1,63
65,m,l,i,l,1000,-59,1,1,64
65,x,x,m,l,1000,35,-1,1,64
66,r,l,m,l,500,98,1,1,65
66,x,x,r,l,500,129,-1,1,65
67,t,l,t,l,650,4,3,1,66
68,l,l,l,l,1000,-27,3,1,67
69,m,l,m,l,650,-60,3,1,68
70,l,l,l,l,650,-12,3,1,69
71,i,l,m,l,1000,-60,1,1,70
71,x,x,i,l,1000,35,-1,1,70
72,i,l,i,l,500,19,3,1,71
73,m,l,i,l,500,4,1,1,72
74,l,l,m,l,800,-230,0,1,73
74,x,x,l,l,800,66,-1,1,73
75,i,l,m,l,650,19,1,1,74
75,x,x,i,l,650,51,-1,1,74
76,i,l,i,l,800,20,3,1,75
77,t,l,t,l,1000,-12,3,1,76
78,i,l,m,l,500,4,1,1,77
79,r,l,i,l,800,-230,0,1,78
79,x,x,r,l,800,66,-1,1,78
80,t,l,i,l,1000,3,1,1,79
80,x,x,t,l,1000,3,-1,1,79
81,l,l,t,l,500,129,0,1,80
81,x,x,r,l,500,237,-1,1,80
82,i,l,l,l,150,-152,0,1,81
83,i,l,i,l,1000,-28,3,1,82
84,m,l,i,l,500,-74,1,1,83
85,r,l,r,l,650,-168,0,1,84
85,x,x,m,l,650,-75,-1,1,84
86,r,l,r,l,650,-105,3,1,85
87,l,l,l,l,1000,-75,3,1,86
88,t,l,t,l,800,-74,3,1,87
89,i,l,t,l,150,-12,1,1,88
90,m,l,m,l,1000,-43,3,1,89
91,t,l,t,l,1000,-43,3,1,90
92,r,l,r,l,1000,-105,3,1,91
93,m,l,t,l,150,-43,1,1,92
94,l,l,t,l,150,-59,1,1,93
95,l,l,t,l,500,-27,1,1,94
95,x,x,l,l,500,207,-1,1,94
96,l,l,l,l,800,20,3,1,95
97,i,l,l,l,150,-13,1,1,96
97,x,x,r,l,150,20,-1,1,96
98,r,l,r,l,500,20,3,1,97
99,m,l,m,l,1000,4,3,1,98
100,i,l,t,l,150,-105,1,1,99
