trial,target_finger,target_hand,pressed_finger,pressed_hand,timing_ms,press_ms,points,chord_size,cycle
1,m,l,m,l,800,-83,3,1,0
2,i,l,i,l,800,-83,3,1,1
3,m,l,i,l,225,-83,1,1,2
4,m,l,m,l,600,-53,3,1,3
5,i,l,m,l,225,-53,1,1,4
6,r,l,l,l,450,-6,1,1,5
6,x,x,r,l,450,119,-1,1,5
7,i,l,i,l,450,26,3,1,6
8,l,l,m,l,150,-53,1,1,7
9,t,l,t,l,450,25,3,1,8
10,i,l,t,l,450,11,1,1,9
11,r,l,r,l,800,-52,3,1,10
12,r,l,m,l,225,-37,1,1,11
13,l,l,l,l,450,42,3,1,12
14,m,l,m,l,600,-36,3,1,13
15,m,l,l,l,450,-21,1,1,14
15,x,x,m,l,450,73,-1,1,14
16,l,l,l,l,600,-36,3,1,15
17,m,l,m,l,800,-52,3,1,16
18,r,l,r,l,600,-52,3,1,17
19,t,l,t,l,800,-83,3,1,18
20,t,l,m,l,150,-100,1,1,19
21,l,l,m,l,150,-83,1,1,20
22,t,l,t,l,600,-5,3,1,21
23,l,l,l,l,600,-99,3,1,22
24,t,l,t,l,800,-53,3,1,23
25,m,l,m,l,600,-52,3,1,24
26,r,l,r,l,600,-68,3,1,25
27,r,l,r,l,600,-83,3,1,26
28,l,l,r,l,150,-52,1,1,27
29,i,l,m,l,225,-83,1,1,28
30,m,l,m,l,150,-83,3,1,29
31,l,l,m,l,225,-83,1,1,30
32,m,l,m,l,225,-21,3,1,31
33,m,l,m,l,225,-52,3,1,32
34,i,l,i,l,800,-52,3,1,33
35,t,l,t,l,800,-68,3,1,34
36,i,l,i,l,600,-53,3,1,35
37,m,l,m,l,150,-36,3,1,36
38,r,l,r,l,800,-68,3,1,37
39,i,l,t,l,225,-100,1,1,38
40,i,l,m,l,150,-53,1,1,39
41,i,l,m,l,450,25,1,1,40
41,x,x,t,l,450,89,-1,1,40
42,t,l,t,l,450,89,3,1,41
43,r,l,r,l,800,-53,3,1,42
44,m,l,t,l,150,-36,1,1,43
45,i,l,t,l,150,-36,1,1,44
46,r,l,t,l,225,-52,1,1,45
47,i,l,t,l,450,-22,1,1,46
48,t,l,t,l,450,42,3,1,47
49,m,l,m,l,225,-36,3,1,48
50,t,l,i,l,225,-6,1,1,49
51,i,l,t,l,600,-84,1,1,50
51,x,x,i,l,600,10,-1,1,50
52,l,l,l,l,600,120,3,1,51
53,i,l,m,l,150,-53,1,1,52
54,t,l,t,l,600,-36,3,1,53
55,m,l,m,l,150,-37,3,1,54
56,t,l,t,l,800,-21,3,1,55
57,i,l,i,l,600,-83,3,1,56
58,l,l,l,l,450,25,3,1,57
59,r,l,l,l,450,-22,1,1,58
59,x,x,r,l,450,88,-1,1,58
60,l,l,l,l,800,-22,3,1,59
61,l,l,l,l,800,-84,3,1,60
62,r,l,l,l,225,-130,0,1,61
63,i,l,r,l,150,-53,1,1,62
64,r,l,r,l,600,-84,3,1,63
65,m,l,m,l,800,-99,3,1,64
66,l,l,m,l,225,-83,1,1,65
67,l,l,m,l,225,-83,1,1,66
68,r,l,m,l,150,-21,1,1,67
69,r,l,m,l,150,-52,1,1,68
70,m,l,m,l,600,-37,3,1,69
71,r,l,r,l,800,-100,3,1,70
72,t,l,m,l,225,-68,1,1,71
73,r,l,m,l,225,-83,1,1,72
74,m,l,m,l,450,-36,3,1,73
75,t,l,m,l,150,-68,1,1,74
76,t,l,m,l,150,-53,1,1,75
77,r,l,m,l,450,-52,1,1,76
78,t,l,r,l,150,-68,1,1,77
79,t,l,t,l,600,-21,3,1,78
80,l,l,r,l,450,42,1,1,79
80,x,x,l,l,450,57,-1,1,79
81,l,l,l,l,600,-83,3,1,80
82,r,l,m,l,450,11,1,1,81
82,x,x,r,l,450,73,-1,1,81
83,r,l,m,l,150,-21,1,1,82
84,l,l,l,l,800,-68,3,1,83
85,t,l,m,l,450,-114,1,1,84
85,x,x,t,l,450,151,-1,1,84
86,t,l,t,l,600,-37,3,1,85
87,m,l,m,l,450,-53,3,1,86
88,m,l,m,l,800,-53,3,1,87
89,l,l,l,l,800,-99,3,1,88
90,i,l,i,l,800,-114,3,1,89
91,i,l,i,l,800,-83,3,1,90
92,l,l,i,l,150,-52,1,1,91
93,l,l,i,l,225,-114,1,1,92
94,m,l,i,l,450,-21,1,1,93
94,x,x,m,l,450,26,-1,1,93
95,t,l,m,l,225,-68,1,1,94
96,r,l,m,l,150,-21,1,1,95
97,t,l,m,l,225,-83,1,1,96
98,l,l,r,l,450,-22,1,1,97
98,x,x,l,l,450,73,-1,1,97
99,i,l,i,l,600,26,3,1,98
100,i,l,m,l,225,-52,1,1,99
